CNTRYID	SEQID	PS1_u01a_num_of_created_emails	PS1_u01a_num_of_diff_emails_views	PS1_u01a_num_of_email_views	PS1_u01a_num_of_revisited_emails	PS1_u01a_seq_of_viewed_emails	PS1_u01a_num_help	PS1_u01a_first_interaction_time	PS1_u01a_time_on_task	PS1_u01a_num_cancel	PS1_u01b_num_of_created_emails	PS1_u01b_num_of_diff_emails_views	PS1_u01b_num_of_email_views	PS1_u01b_num_of_revisited_emails	PS1_u01b_seq_of_viewed_emails	PS1_u01b_num_help	PS1_u01b_first_interaction_time	PS1_u01b_time_on_task	PS1_u01b_num_cancel	PS1_u03a_num_help	PS1_u03a_first_interaction_time	PS1_u03a_time_on_task	PS1_u03a_num_switching_environment	PS1_u03a_num_cancel	PS1_u03a_seq_switching_environment	PS1_u06a_num_help	PS1_u06a_first_interaction_time	PS1_u06a_time_on_task	PS1_u06a_num_of_diff_visited_pages	PS1_u06a_num_of_page_revisits	PS1_u06a_num_of_page_visits	PS1_u06a_seq_visited_web_pages	PS1_u06a_seq_time_spent_on_web_pages	PS1_u06a_num_cancel	PS1_u06b_num_help	PS1_u06b_first_interaction_time	PS1_u06b_time_on_task	PS1_u06b_num_of_diff_visited_pages	PS1_u06b_num_of_page_revisits	PS1_u06b_num_of_page_visits	PS1_u06b_seq_visited_web_pages	PS1_u06b_seq_time_spent_on_web_pages	PS1_u06b_num_cancel	PS1_u21_num_help	PS1_u21_first_interaction_time	PS1_u21_time_on_task	PS1_u21_num_cancel	PS1_u04a_num_help	PS1_u04a_first_interaction_time	PS1_u04a_time_on_task	PS1_u04a_num_switching_environment	PS1_u04a_num_cancel	PS1_u04a_seq_switching_environment	PS2_u19a_num_help	PS2_u19a_first_interaction_time	PS2_u19a_time_on_task	PS2_u19a_num_switching_environment	PS2_u19a_num_cancel	PS2_u19a_seq_switching_environment	PS2_u19b_num_help	PS2_u19b_first_interaction_time	PS2_u19b_time_on_task	PS2_u19b_num_switching_environment	PS2_u19b_num_cancel	PS2_u19b_seq_switching_environment	PS2_u07_num_help	PS2_u07_first_interaction_time	PS2_u07_time_on_task	PS2_u07_num_of_diff_visited_pages	PS2_u07_num_of_page_revisits	PS2_u07_num_of_page_visits	PS2_u07_seq_visited_web_pages	PS2_u07_seq_time_spent_on_web_pages	PS2_u07_num_cancel	PS2_u02_num_of_created_emails	PS2_u02_num_of_diff_emails_views	PS2_u02_num_of_email_views	PS2_u02_num_of_revisited_emails	PS2_u02_seq_of_viewed_emails	PS2_u02_num_help	PS2_u02_first_interaction_time	PS2_u02_time_on_task	PS2_u02_num_of_diff_visited_pages	PS2_u02_num_of_page_revisits	PS2_u02_num_of_page_visits	PS2_u02_seq_visited_web_pages	PS2_u02_seq_time_spent_on_web_pages	PS2_u02_num_switching_environment	PS2_u02_num_cancel	PS2_u02_seq_switching_environment	PS2_u16_num_of_created_emails	PS2_u16_num_of_diff_emails_views	PS2_u16_num_of_email_views	PS2_u16_num_of_revisited_emails	PS2_u16_seq_of_viewed_emails	PS2_u16_num_help	PS2_u16_first_interaction_time	PS2_u16_time_on_task	PS2_u16_num_cancel	PS2_u11b_num_of_created_emails	PS2_u11b_num_of_diff_emails_views	PS2_u11b_num_of_email_views	PS2_u11b_num_of_revisited_emails	PS2_u11b_seq_of_viewed_emails	PS2_u11b_num_help	PS2_u11b_first_interaction_time	PS2_u11b_time_on_task	PS2_u11b_num_cancel	PS2_u23_num_of_created_emails	PS2_u23_num_of_diff_emails_views	PS2_u23_num_of_email_views	PS2_u23_num_of_revisited_emails	PS2_u23_seq_of_viewed_emails	PS2_u23_num_help	PS2_u23_first_interaction_time	PS2_u23_time_on_task	PS2_u23_num_of_diff_visited_pages	PS2_u23_num_of_page_revisits	PS2_u23_num_of_page_visits	PS2_u23_seq_visited_web_pages	PS2_u23_seq_time_spent_on_web_pages	PS2_u23_num_switching_environment	PS2_u23_num_cancel	PS2_u23_seq_switching_environment
ZA6712_GB.data	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZA6712_GB.data	1000	0	1	1	0	u01a_item101	0	35743	152913	0	0	1	1	0	u01b_item101	0	31111	139489	0	0	113870	120718	0	0	WB	0	87668	170496	1	0	1	u06a_default	170496	0	0	35514	183015	6	7	13	main|unit06bpage8|main|unit06bpage7|main|unit06bpage5|main|unit06bpage3|main|unit06bpage1|main|unit06bpage7|main	35639|22320|3793|31253|5425|10825|3370|19626|2223|5874|2737|8344|31586	0	0	50493	245117	0	0	263786	820159	3	1	MC|SS|MC|SS	0	97265	210280	5	0	SS|MC|SS|MC|SS|MC	0	93568	379836	8	0	MC|SS|MC|SS|MC|SS|MC|SS|MC	0	61032	148931	9	5	14	main|unit7page7|u07_pg7_txt4_popup|unit7page7|main|unit7page2|main|unit7page1|u07_pg1_txt7_popup|unit7page1|main|unit7page6|u07_pg6_popup6|book=page6	61283|9503|8287|2386|5292|19150|2846|14931|3580|1784|3201|10027|1735|4926	0	0	4	5	1	u02_item101|u02_item102|u02_item103|u02_item104|u02_item104	0	41381	188282	0	0	0			0	0	MC	0	3	6	3	u16_item101|u16_item102|u16_item104|u16_item102|u16_item104|u16_item102	0	63153	250205	1	0	0	0	0		0	32724	176892	0	0	0	0	0		0	37988	179845	26	30	56	main|unit23page5|u023_pg5_txt5_popup|unit23page5|u023_pg5_txt4_popup|unit23page5|u023_pg5_txt6_popup|unit23page5|main|unit23page7|u023_pg7_txt4_popup|unit23page7|u023_pg7_txt5_popup|unit23page7|main|unit23page4|u023_pg4_txt4_popup|unit23page4|u023_pg4_txt5_popup|unit23page4|u023_pg4_txt6_popup|unit23page4|main|unit23page6|u023_pg5_txt5_popup|u023_pg5_txt4_popup|unit23page6|u023_pg5_txt5_popup|unit23page6|u023_pg5_txt6_popup|unit23page6|main|unit23page3|u023_pg3_txt4_popup|unit23page3|u023_pg3_txt5_popup|unit23page3|u023_pg3_txt6_popup|unit23page3|main|unit23page8|u023_pg8_txt4_popup|unit23page8|u023_pg8_txt10_popup|unit23page8|u023_pg8_txt5_popup|unit23page8|u023_pg8_txt7_popup|unit23page8|u023_pg8_txt6_popup|unit23page8|main|unit23page1|unit23page12|u023_pg12_txt6_popup|unit23page12	37988|24125|3352|1529|1920|755|1882|3272|4320|2057|1954|929|2566|1470|3962|2029|1850|1147|1339|1135|1430|1248|1818|236|1332|1675|666|1436|961|1372|2056|2517|1478|1666|1304|1293|964|1192|1608|2200|4766|1617|1884|1594|1135|1215|1080|1205|974|1316|1624|6388|15559|5749|3588|2118	0	0	WB
ZA6712_GB.data	1002	0	1	1	0	u01a_item101	0	25294	71116	0	0	1	1	0	u01b_item101	1	25503	101118	0	0	33420	296572	2	0	WB|SS|WB	0	94694	225175	1	0	1	u06a_default	225175	0	0	16574	189458	6	9	15	main|unit06bpage1|main|unit06bpage3|main|unit06bpage5|main|unit06bpage7|main|unit06bpage8|main|unit06bpage3|main|unit06bpage7|main	16841|32064|4426|16218|8525|16035|3254|24899|4145|10667|10007|7974|15057|6740|12606	0	0	31817	360292	0	0	28871	449062	0	0	MC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZA6712_GB.data	1003	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZA6712_GB.data	1004	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZA6712_GB.data	1005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZA6712_GB.data	1007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	36925	99977	3	1	SS|MC|SS|MC	0	21197	142082	6	0	MC|SS|MC|SS|MC|SS|MC	0	29974	44832	4	0	4	main|unit7page3|u07_pg3_popup6|book=page3	30195|6464|2001|6172	0	0	4	5	1	u02_item101|u02_item102|u02_item103|u02_item104|u02_item104	0	20954	174491	4	8	12	main|MC|main|unit02page3|MC|unit02page3|MC|unit02page3|unit02page2|unit02page3|u02_pg3_txt90|unit02page3|MC|unit02page3|u02_pg3_txt90|unit02page3	10566|8855|5546|26564|2779|8001|4752|4091|6222|5438|1961|2384|39826|15609|1648|1316	10	0	MC|WP|WB|MC|WB|MC|WB|MC|WB|MC|WB	0	2	2	0	u16_item101|item0	0	28400	80436	0	0	3	5	2	u11b_item701|u11b_item702|u11b_item703|u11b_item702|u11b_item703	0	17114	69277	0	0	1	1	0	u23_item305	0	10339	79329	6	4	10	main|unit23page1|unit23page12|u023_pg12_txt6_popup|unit23page12|MC|unit23page12|unit23page1|unit23page2|MC|unit23page2|u023_pg2_txt22_popup	10461|4443|2963|4114|3101|13902|5861|4144|18854|2606|5085|3795	4	0	WB|MC|WB|MC|WB
ZA6712_GB.data	1008	0	4	4	0	u01a_item101|u01a_item102|u01a_item103|u01a_item105	0	33821	132161	1	0	5	12	7	u01b_item101|u01b_item102|u01b_item103|u01b_item104|u01b_item103|u01b_item102|u01b_item102|u01b_item103|u01b_item104|u01b_item104|u01b_item105|u01b_item104	0	10999	246601	0	0	31972	35722	0	0	WB	0	37499	101646	2	1	3	u06a_default|u06a_default_txt3_popup|u06a_default	37499|3210|60937	0	0	14148	100805	6	6	12	main|unit06bpage1|main|unit06bpage3|main|unit06bpage5|main|unit06bpage7|main|unit06bpage8|main|unit06bpage3	27093|21528|2134|4889|1679|3191|1768|4785|1767|9601|8864|13506	0	0	37889	203305	0	0	0	14738	0	0	MC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZA6712_GB.data	1009	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	23755	0	0	SS	0	0	45762	0	0	MC	0	10785	23802	4	0	4	main|unit7page2|u07_pg2_popup6|book=page2	11012|4778|3515|4497	0	0	0	0	0		0	9637	12920	0	0	0			0	0	MC	0	1	1	0	u16_item101	0	7767	16948	0	0	0	0	0		0	0	23388	0	0	0	0	0		0	7939	19777	3	1	4	main|unit23page5|u023_pg5_txt5_popup|unit23page5	7939|6907|2829|2102	0	0	WB
ZA6712_GB.data	101	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
