CNTRYID	SEQID	PS1_u01a_num_of_created_emails	PS1_u01a_num_of_diff_emails_views	PS1_u01a_num_of_email_views	PS1_u01a_num_of_revisited_emails	PS1_u01a_seq_of_viewed_emails	PS1_u01a_num_help	PS1_u01a_first_interaction_time	PS1_u01a_time_on_task	PS1_u01a_num_cancel	PS1_u01b_num_of_created_emails	PS1_u01b_num_of_diff_emails_views	PS1_u01b_num_of_email_views	PS1_u01b_num_of_revisited_emails	PS1_u01b_seq_of_viewed_emails	PS1_u01b_num_help	PS1_u01b_first_interaction_time	PS1_u01b_time_on_task	PS1_u01b_num_cancel	PS1_u03a_num_help	PS1_u03a_first_interaction_time	PS1_u03a_time_on_task	PS1_u03a_num_switching_environment	PS1_u03a_num_cancel	PS1_u03a_seq_switching_environment	PS1_u06a_num_help	PS1_u06a_first_interaction_time	PS1_u06a_time_on_task	PS1_u06a_num_of_diff_visited_pages	PS1_u06a_num_of_page_revisits	PS1_u06a_num_of_page_visits	PS1_u06a_seq_visited_web_pages	PS1_u06a_seq_time_spent_on_web_pages	PS1_u06a_num_cancel	PS1_u06b_num_help	PS1_u06b_first_interaction_time	PS1_u06b_time_on_task	PS1_u06b_num_of_diff_visited_pages	PS1_u06b_num_of_page_revisits	PS1_u06b_num_of_page_visits	PS1_u06b_seq_visited_web_pages	PS1_u06b_seq_time_spent_on_web_pages	PS1_u06b_num_cancel	PS1_u21_num_help	PS1_u21_first_interaction_time	PS1_u21_time_on_task	PS1_u21_num_cancel	PS1_u04a_num_help	PS1_u04a_first_interaction_time	PS1_u04a_time_on_task	PS1_u04a_num_switching_environment	PS1_u04a_num_cancel	PS1_u04a_seq_switching_environment	PS2_u19a_num_help	PS2_u19a_first_interaction_time	PS2_u19a_time_on_task	PS2_u19a_num_switching_environment	PS2_u19a_num_cancel	PS2_u19a_seq_switching_environment	PS2_u19b_num_help	PS2_u19b_first_interaction_time	PS2_u19b_time_on_task	PS2_u19b_num_switching_environment	PS2_u19b_num_cancel	PS2_u19b_seq_switching_environment	PS2_u07_num_help	PS2_u07_first_interaction_time	PS2_u07_time_on_task	PS2_u07_num_of_diff_visited_pages	PS2_u07_num_of_page_revisits	PS2_u07_num_of_page_visits	PS2_u07_seq_visited_web_pages	PS2_u07_seq_time_spent_on_web_pages	PS2_u07_num_cancel	PS2_u02_num_of_created_emails	PS2_u02_num_of_diff_emails_views	PS2_u02_num_of_email_views	PS2_u02_num_of_revisited_emails	PS2_u02_seq_of_viewed_emails	PS2_u02_num_help	PS2_u02_first_interaction_time	PS2_u02_time_on_task	PS2_u02_num_of_diff_visited_pages	PS2_u02_num_of_page_revisits	PS2_u02_num_of_page_visits	PS2_u02_seq_visited_web_pages	PS2_u02_seq_time_spent_on_web_pages	PS2_u02_num_switching_environment	PS2_u02_num_cancel	PS2_u02_seq_switching_environment	PS2_u16_num_of_created_emails	PS2_u16_num_of_diff_emails_views	PS2_u16_num_of_email_views	PS2_u16_num_of_revisited_emails	PS2_u16_seq_of_viewed_emails	PS2_u16_num_help	PS2_u16_first_interaction_time	PS2_u16_time_on_task	PS2_u16_num_cancel	PS2_u11b_num_of_created_emails	PS2_u11b_num_of_diff_emails_views	PS2_u11b_num_of_email_views	PS2_u11b_num_of_revisited_emails	PS2_u11b_seq_of_viewed_emails	PS2_u11b_num_help	PS2_u11b_first_interaction_time	PS2_u11b_time_on_task	PS2_u11b_num_cancel	PS2_u23_num_of_created_emails	PS2_u23_num_of_diff_emails_views	PS2_u23_num_of_email_views	PS2_u23_num_of_revisited_emails	PS2_u23_seq_of_viewed_emails	PS2_u23_num_help	PS2_u23_first_interaction_time	PS2_u23_time_on_task	PS2_u23_num_of_diff_visited_pages	PS2_u23_num_of_page_revisits	PS2_u23_num_of_page_visits	PS2_u23_seq_visited_web_pages	PS2_u23_seq_time_spent_on_web_pages	PS2_u23_num_switching_environment	PS2_u23_num_cancel	PS2_u23_seq_switching_environment
ZA6712_US.data	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZA6712_US.data	10	0	3	7	4	u01a_item101|u01a_item201|u01a_item202|u01a_item101|u01a_item201|u01a_item202|u01a_item101	1	32467	356445	0	0	5	9	4	u01b_item101|u01b_item101|u01b_item102|u01b_item103|u01b_item104|u01b_item105|u01b_item101|u01b_item103|u01b_item105	0	53124	212681	0	0	80057	142534	4	0	WB|SS|WB|SS|WB	0	76161	237989	2	1	3	u06a_default|u06a_default_txt3_popup|u06a_default	76161|3404|158424	0	0	16837	55955	1	0	1	main	55955	0	0	21752	156454	0	0	35145	39452	1	0	MC|SS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZA6712_US.data	1000	0	1	1	0	u01a_item101	0	34318	96416	0	2	7	12	5	u01b_item101|u01b_item102|u01b_item103|u01b_item104|u01b_item105|newmail1|newmail2|u01b_item101|u01b_item102|u01b_item103|u01b_item104|u01b_item105	1	80296	416887	0	0	84392	290193	2	0	WB|SS|WB	0	80298	285726	3	4	7	u06a_default|u06a_default_txt15_popup|u06a_default|u06a_default_txt15_popup|u06a_default|u06a_default_txt3_popup|u06a_default	80298|5018|38217|2091|53340|2819|103943	0	0	65750	198877	6	7	13	main|unit06bpage7|main|unit06bpage1|main|unit06bpage3|main|unit06bpage5|main|unit06bpage8|main|unit06bpage7|main	66034|17383|2217|8205|2502|23602|3438|21848|5852|9148|2104|3813|32731	0	0	95984	288592	0	0	90428	320811	1	0	MC|SS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZA6712_US.data	1002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZA6712_US.data	1003	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZA6712_US.data	1004	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	67908	253479	3	1	SS|MC|SS|MC	0	38125	228942	8	0	MC|SS|MC|SS|MC|SS|MC|SS|MC	0	42555	233215	14	18	32	main|unit7page1|main|unit7page1|u07_pg1_txt7_popup|unit7page1|main|unit7page2|main|unit7page3|unit7page8|unit7page3|main|unit7page4|main|unit7page6|u07_pg6_txt12_popup|unit7page6|u07_pg6_txt12_popup|unit7page6|main|unit7page7|u07_pg7_txt4_popup|unit7page7|main|unit7page6|main|unit7page4|unit7page5|unit7page4|u07_pg4_popup6|book=page4	42693|13246|9882|3767|2991|2615|2876|5779|2043|3854|4155|8745|2095|15358|11207|11274|5030|15569|2051|5249|7984|6534|3606|2764|2395|15710|1986|4443|7177|1805|1631|6701	0	0	4	7	3	u02_item101|u02_item101|u02_item104|u02_item103|u02_item101|u02_item102|u02_item103	0	18726	581356	7	28	35	main|unit02page2|MC|unit02page2|MC|WP|MC|unit02page2|unit02page1|unit02page2|unit02page5|unit02page2|MC|unit02page2|unit02page1|unit02page2|unit02page1|unit02page3|unit02page2|unit02page1|unit02page3|MC|unit02page3|u02_pg3_txt90|unit02page3|MC|unit02page3|unit02page2|unit02page1|MC|unit02page1|unit02page3|u02_pg3_txt90|unit02page3|unit02page1|MC|unit02page1|WP|MC|unit02page1|unit02page5|MC|unit02page5|u02_pg5_txt21|unit02page5|u02_pg5_txt21|unit02page5	6063|11666|37113|6328|49119|8803|34858|4214|21791|10248|12487|11784|10692|7930|2491|39308|22656|6633|3247|14898|24076|9180|3932|2225|3577|15040|2544|1712|25852|7108|3793|15472|2226|4547|3165|17811|17325|2035|5588|2255|3893|2126|11190|1583|1427|3802|1650	22	0	MC|WB|MC|WB|MC|WP|MC|WB|MC|WB|MC|WB|MC|WB|MC|WB|MC|WB|WP|MC|WB|MC|WB	0	1	1	0	u16_item101	0	13123	76061	0	0	1	1	0	u11b_item701	0	12127	122254	0	0	1	1	0	u23_item305	0	13464	134664	10	11	21	main|unit23page5|main|unit23page1|unit23page12|u023_pg12_txt6_popup|unit23page12|MC|unit23page12|unit23page1|unit23page13|unit23page1|main|unit23page5|u023_pg5_txt5_popup|unit23page5|u023_pg5_txt4_popup|unit23page5|u023_pg5_txt6_popup|unit23page5|main|unit23page9|MC	13464|14173|4422|7398|8483|2948|11665|11783|6701|13669|2212|2055|4833|6799|2866|996|1531|1018|1681|3721|5103|4781|2362	3	0	WB|MC|WB|MC
ZA6712_US.data	1005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	135498	154167	1	0	SS|MC	1	50470	411073	5	0	MC|SS|MC|SS|MC|SS	0	51301	285662	11	11	22	main|unit7page1|main|unit7page2|main|unit7page3|main|unit7page4|main|unit7page6|main|unit7page7|main|unit7page7|u07_pg7_txt4_popup|unit7page7|main|unit7page4|unit7page5|unit7page4|u07_pg4_popup6|book=page4	51473|49022|4824|4665|1874|11753|7058|17558|2143|14454|1937|19239|10535|28748|12445|3545|2137|3411|16367|9529|6104|6841	0	0	4	6	2	u02_item101|u02_item101|u02_item102|u02_item103|u02_item104|u02_item103	0	37179	198133	1	0	1	main|MC	1848|16064	3	0	MC|WP|WB|MC	2	3	5	2	u16_item101|newmail1|u16_item101|newmail2|u16_item101	0	56970	328960	0	0	0	0	0		0	0	13598	0	0	1	1	0	u23_item305	0	30536	455764	8	19	27	main|unit23page1|unit23page13|unit23page1|unit23page2|unit23page12|u023_pg12_txt6_popup|unit23page12|u023_pg12_txt6_popup|unit23page12|unit23page2|unit23page1|main|unit23page5|main|unit23page1|unit23page12|MC|unit23page12|u023_pg12_txt6_popup|unit23page12|unit23page1|unit23page12|unit23page1|unit23page12|unit23page1|unit23page2|u023_pg2_txt22_popup	31702|19598|8072|8779|36820|8172|4545|7339|3334|15204|4427|1092|75929|18632|5537|7464|10121|83164|3065|2695|6615|22802|12087|2947|18267|17036|12966|7353	2	0	WB|MC|WB
ZA6712_US.data	1006	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZA6712_US.data	1007	0	6	7	1	u01a_item101|u01a_item201|u01a_item201|u01a_item102|u01a_item301|u01a_item104|u01a_item105	0	30531	136286	0	0	5	8	3	u01b_item101|u01b_item101|u01b_item102|u01b_item103|u01b_item104|u01b_item105|u01b_item102|u01b_item104	0	28422	238134	0	0	47491	147392	6	0	WB|SS|WB|SS|WB|SS|WB	0	38265	282162	1	0	1	u06a_default	282162	0	0	19684	162974	7	7	14	main|unit06bpage1|unit06bpage2|unit06bpage1|main|unit06bpage3|main|unit06bpage5|main|unit06bpage7|main|unit06bpage8|main|unit06bpage3	28849|5148|36882|1507|17210|14846|2203|3294|3162|16508|3281|7917|12299|9868	0	0	12631	345612	0	0	82073	457754	12	0	MC|SS|MC|SS|MC|SS|MC|SS|MC|SS|MC|SS|MC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZA6712_US.data	1008	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
